zipcode,country_code,place,state,state_code,province,province_code,community,community_code,latitude,longitude,inc_2021-11-25,inc_2021-12-20
52351,DE,Düren,Nordrhein-Westfalen,NW,Regierungsbezirk Köln,053,Düren,05358,50.8086,6.4982,255.7,192.7
53113,DE,Bonn,Nordrhein-Westfalen,NW,Regierungsbezirk Köln,053,"Bonn, Stadt",05314,50.7231,7.1068,285.9,186.3
53115,DE,Bonn,Nordrhein-Westfalen,NW,Regierungsbezirk Köln,053,"Bonn, Stadt",05314,50.7272,7.0851,285.9,186.3
53121,DE,Bonn,Nordrhein-Westfalen,NW,Regierungsbezirk Köln,053,"Bonn, Stadt",05314,50.7317,7.0575,285.9,186.3
53127,DE,Bonn,Nordrhein-Westfalen,NW,Regierungsbezirk Köln,053,"Bonn, Stadt",05314,50.7112,7.0668,285.9,186.3
54290,DE,Trier,Rheinland-Pfalz,RP,,00,"Trier, kreisfreie Stadt",07211,49.7537,6.6393,141.9,164.4
55128,DE,Mainz,Rheinland-Pfalz,RP,,00,"Mainz, kreisfreie Stadt",07315,49.9808,8.2422,220.6,153.8
55129,DE,Mainz,Rheinland-Pfalz,RP,,00,"Mainz, kreisfreie Stadt",07315,49.9661,8.2663,220.6,153.8
56068,DE,Koblenz,Rheinland-Pfalz,RP,,00,"Koblenz, kreisfreie Stadt",07111,50.3567,7.5932,214.3,214.3
56072,DE,Koblenz,Rheinland-Pfalz,RP,,00,"Koblenz, kreisfreie Stadt",07111,50.3578,7.5251,214.3,214.3
58515,DE,Lüdenscheid,Nordrhein-Westfalen,NW,Reg.-Bez. Arnsberg,059,Märkischer Kreis,05962,51.2012,7.6258,286.8,286.8
59071,DE,Hamm,Nordrhein-Westfalen,NW,Reg.-Bez. Arnsberg,059,"Hamm, Stadt",05915,51.691,7.8704,302.3,261.5
60327,DE,Frankfurt am Main,Hessen,HE,Regierungsbezirk Darmstadt,064,"Frankfurt am Main, Stadt",06412,50.1038,8.6522,358.2,251.1
60437,DE,Frankfurt am Main,Hessen,HE,Regierungsbezirk Darmstadt,064,"Frankfurt am Main, Stadt",06412,50.1924,8.6753,358.2,251.1
60438,DE,Frankfurt am Main,Hessen,HE,Regierungsbezirk Darmstadt,064,"Frankfurt am Main, Stadt",06412,50.1787,8.632,358.2,251.1
60439,DE,Frankfurt am Main,Hessen,HE,Regierungsbezirk Darmstadt,064,"Frankfurt am Main, Stadt",06412,50.1605,8.6337,358.2,251.1
60528,DE,Frankfurt am Main,Hessen,HE,Regierungsbezirk Darmstadt,064,"Frankfurt am Main, Stadt",06412,50.0837,8.644,358.2,251.1
60596,DE,Frankfurt am Main,Hessen,HE,Regierungsbezirk Darmstadt,064,"Frankfurt am Main, Stadt",06412,50.0974,8.6735,358.2,251.1
61231,DE,Bad Nauheim,Hessen,HE,Regierungsbezirk Darmstadt,064,Wetteraukreis,06440,50.3646,8.7386,229.7,193.7
63069,DE,Offenbach,Hessen,HE,Regierungsbezirk Darmstadt,064,"Offenbach am Main, Stadt",06413,50.0894,8.7494,357.5,359.8
64283,DE,Darmstadt,Hessen,HE,Regierungsbezirk Darmstadt,064,"Darmstadt, Wissenschaftsstadt",06411,49.8719,8.6484,293.4,200.4
65479,DE,Raunheim,Hessen,HE,Regierungsbezirk Darmstadt,064,Groß-Gerau,06433,50.0132,8.4525,273.7,204.9
65549,DE,Limburg an der Lahn,Hessen,HE,Reg.-Bez. Gießen,065,Limburg-Weilburg,06533,50.383,8.0611,192.1,175.3
65719,DE,Hofheim am Taunus,Hessen,HE,Regierungsbezirk Darmstadt,064,Main-Taunus-Kreis,06436,50.0902,8.4493,280.0,164.7
65929,DE,Frankfurt am Main,Hessen,HE,Regierungsbezirk Darmstadt,064,"Frankfurt am Main, Stadt",06412,50.1045,8.5389,358.2,251.1
66386,DE,Sankt Ingbert,Saarland,SL,,00,Saarpfalz-Kreis,10045,49.277,7.1167,403.1,333.9
66424,DE,Homburg,Saarland,SL,,00,Saarpfalz-Kreis,10045,49.3264,7.3387,403.1,333.9
67063,DE,Ludwigshafen am Rhein,Rheinland-Pfalz,RP,,00,"Ludwigshafen am Rhein, kreisfreie Stadt",07314,49.499,8.4109,443.3,335.0
67433,DE,Neustadt an der Weinstraße,Rheinland-Pfalz,RP,,00,"Neustadt an der Weinstraße, kreisfreie Stadt",07316,49.3465,8.1491,476.5,333.9
67657,DE,Kaiserslautern,Rheinland-Pfalz,RP,,00,"Kaiserslautern, kreisfreie Stadt",07312,49.4495,7.7948,259.9,323.1
68167,DE,Mannheim,Baden-Württemberg,BW,Karlsruhe Region,082,Mannheim,08222,49.4996,8.4939,511.8,274.4
69120,DE,Heidelberg,Baden-Württemberg,BW,Karlsruhe Region,082,Heidelberg,08221,49.4169,8.6764,245.1,251.4
69126,DE,Heidelberg,Baden-Württemberg,BW,Karlsruhe Region,082,Heidelberg,08221,49.3757,8.6911,245.1,251.4
69214,DE,Eppelheim,Baden-Württemberg,BW,Karlsruhe Region,082,Rhein-Neckar-Kreis,08226,49.4019,8.6364,354.2,268.5
70174,DE,Stuttgart Stuttgart-Nord,Baden-Württemberg,BW,Regierungsbezirk Stuttgart,081,Stuttgart,08111,48.7978,9.1921,343.3,477.4
70191,DE,Stuttgart,Baden-Württemberg,BW,Regierungsbezirk Stuttgart,081,Stuttgart,08111,48.7667,9.1833,343.3,477.4
70193,DE,Stuttgart Stuttgart-West,Baden-Württemberg,BW,Regierungsbezirk Stuttgart,081,Stuttgart,08111,48.7736,9.1641,343.3,477.4
70376,DE,Stuttgart,Baden-Württemberg,BW,Regierungsbezirk Stuttgart,081,Stuttgart,08111,48.7667,9.1833,343.3,477.4
70771,DE,Leinfelden-Echterdingen,Baden-Württemberg,BW,Regierungsbezirk Stuttgart,081,Esslingen,08116,48.6941,9.1681,491.0,339.9
71065,DE,Sindelfingen,Baden-Württemberg,BW,Regierungsbezirk Stuttgart,081,Böblingen,08115,48.7023,9.0219,575.5,273.4
71636,DE,Ludwigsburg,Baden-Württemberg,BW,Regierungsbezirk Stuttgart,081,Ludwigsburg,08118,48.8901,9.1746,423.3,265.3
72076,DE,Tübingen,Baden-Württemberg,BW,Tübingen Region,084,Tübingen,08416,48.5369,9.0536,400.5,231.1
72622,DE,Nürtingen,Baden-Württemberg,BW,Regierungsbezirk Stuttgart,081,Esslingen,08116,48.6256,9.342,491.0,339.9
72770,DE,Reutlingen,Baden-Württemberg,BW,Tübingen Region,084,Reutlingen,08415,48.4942,9.1666,536.4,309.6
73035,DE,Göppingen,Baden-Württemberg,BW,Regierungsbezirk Stuttgart,081,Göppingen,08117,48.7,9.6667,558.8,355.5
74072,DE,Heilbronn,Baden-Württemberg,BW,Regierungsbezirk Stuttgart,081,Heilbronn,08121,49.1423,9.2234,667.4,445.2
74078,DE,Heilbronn,Baden-Württemberg,BW,Regierungsbezirk Stuttgart,081,Heilbronn,08121,49.1566,9.1746,667.4,445.2
76131,DE,Karlsruhe,Baden-Württemberg,BW,Karlsruhe Region,082,Karlsruhe,08212,49.0078,8.4199,375.4,278.2
76133,DE,Karlsruhe,Baden-Württemberg,BW,Karlsruhe Region,082,Karlsruhe,08212,49.0083,8.3979,375.4,278.2
76199,DE,Karlsruhe,Baden-Württemberg,BW,Karlsruhe Region,082,Karlsruhe,08212,48.9661,8.4043,375.4,278.2
76275,DE,Ettlingen,Baden-Württemberg,BW,Karlsruhe Region,082,Karlsruhe,08215,48.9409,8.4076,440.9,307.3
76726,DE,Germersheim,Rheinland-Pfalz,RP,,00,Landkreis Germersheim,07334,49.2231,8.3639,555.0,450.4
76870,DE,Kandel,Rheinland-Pfalz,RP,,00,Landkreis Germersheim,07334,49.0828,8.1972,555.0,450.4
78224,DE,Singen,Baden-Württemberg,BW,Freiburg Region,083,Konstanz,08335,47.7593,8.8403,441.0,409.9
78464,DE,Konstanz,Baden-Württemberg,BW,Freiburg Region,083,Konstanz,08335,47.6723,9.1834,441.0,409.9
78467,DE,Konstanz,Baden-Württemberg,BW,Freiburg Region,083,Konstanz,08335,47.6744,9.1649,441.0,409.9
79100,DE,Freiburg im Breisgau,Baden-Württemberg,BW,Freiburg Region,083,Freiburg im Breisgau,08311,47.9809,7.8327,360.3,284.9
79104,DE,Freiburg im Breisgau,Baden-Württemberg,BW,Freiburg Region,083,Freiburg im Breisgau,08311,48.0098,7.8545,360.3,284.9
80333,DE,München,Bayern,BY,Upper Bavaria,091,München,09162,48.1452,11.5668,541.5,232.6
80335,DE,München,Bayern,BY,Upper Bavaria,091,München,09162,48.1427,11.5552,541.5,232.6
80336,DE,München,Bayern,BY,Upper Bavaria,091,München,09162,48.1345,11.559,541.5,232.6
80804,DE,München,Bayern,BY,Upper Bavaria,091,München,09162,48.1738,11.5858,541.5,232.6
80937,DE,München,Bayern,BY,Upper Bavaria,091,München,09162,48.1974,11.5721,541.5,232.6
81671,DE,München,Bayern,BY,Upper Bavaria,091,München,09162,48.1223,11.6205,541.5,232.6
81675,DE,München,Bayern,BY,Upper Bavaria,091,München,09162,48.1352,11.6039,541.5,232.6
81679,DE,München,Bayern,BY,Upper Bavaria,091,München,09162,48.1512,11.6103,541.5,232.6
81737,DE,München,Bayern,BY,Upper Bavaria,091,München,09162,48.1098,11.6183,541.5,232.6
82152,DE,Krailling,Bayern,BY,Upper Bavaria,091,Starnberg,09188,48.1,11.4,540.2,236.4
