zipcode,country_code,place,state,state_code,province,province_code,community,community_code,latitude,longitude,inc_2021-11-25,inc_2021-12-20
21502,DE,Hamwarde,Schleswig-Holstein,SH,,00,Kreis Herzogtum Lauenburg,01053,53.45,10.4167,192.8,244.5
22081,DE,Hamburg Uhlenhorst,Hamburg,HH,,00,"Hamburg, Freie und Hansestadt",02000,53.5714,10.0189,244.4,326.5
22083,DE,Hamburg Barmbek-Süd,Hamburg,HH,,00,"Hamburg, Freie und Hansestadt",02000,53.58,10.0436,244.4,326.5
22087,DE,Hamburg Uhlenhorst,Hamburg,HH,,00,"Hamburg, Freie und Hansestadt",02000,53.5714,10.0189,244.4,326.5
22339,DE,Hamburg,Hamburg,HH,,00,"Hamburg, Freie und Hansestadt",02000,53.6508,10.0432,244.4,326.5
22453,DE,Hamburg Niendorf,Hamburg,HH,,00,"Hamburg, Freie und Hansestadt",02000,53.6186,9.9611,244.4,326.5
22763,DE,Hamburg Ottensen,Hamburg,HH,,00,"Hamburg, Freie und Hansestadt",02000,53.555,9.9181,244.4,326.5
22767,DE,Hamburg Sankt Pauli,Hamburg,HH,,00,"Hamburg, Freie und Hansestadt",02000,53.5511,9.97,244.4,326.5
23564,DE,Lübeck,Schleswig-Holstein,SH,,00,"Lübeck, Hansestadt",01003,53.8705,10.6986,166.8,214.5
23845,DE,Itzstedt,Schleswig-Holstein,SH,,00,Kreis Segeberg,01060,53.808,10.158,150.4,194.6
24106,DE,Kiel,Schleswig-Holstein,SH,,00,Kreisfreie Stadt Kiel,01002,54.3506,10.1205,140.3,153.7
24113,DE,Molfsee,Schleswig-Holstein,SH,,00,Kreis Rendsburg-Eckernförde,01058,54.2667,10.0667,88.8,157.2
25746,DE,Norderwöhrden,Schleswig-Holstein,SH,,00,Kreis Dithmarschen,01051,54.2,9.0167,93.8,82.6
26129,DE,Oldenburg (Oldenburg),Niedersachsen,NI,,00,"Oldenburg (Oldenburg), Stadt",03403,53.1547,8.1706,199.3,115.6
26135,DE,Oldenburg (Oldenburg),Niedersachsen,NI,,00,"Oldenburg (Oldenburg), Stadt",03403,53.1267,8.2384,199.3,115.6
27580,DE,Bremerhaven,Bremen,HB,,00,"Bremerhaven, Stadt",04012,53.5685,8.5968,216.6,181.4
28357,DE,Bremen,Bremen,HB,,00,Kreisfreie Stadt Bremen,04011,53.1178,8.8947,187.4,295.6
30159,DE,Hannover,Niedersachsen,NI,,00,Region Hannover,03241,52.3736,9.7371,208.3,218.6
30163,DE,Hannover,Niedersachsen,NI,,00,Region Hannover,03241,52.3943,9.7475,208.3,218.6
30167,DE,Hannover,Niedersachsen,NI,,00,Region Hannover,03241,52.3914,9.7083,208.3,218.6
30171,DE,Hannover,Niedersachsen,NI,,00,Region Hannover,03241,52.3697,9.7521,208.3,218.6
30173,DE,Hannover,Niedersachsen,NI,,00,Region Hannover,03241,52.3586,9.7558,208.3,218.6
30449,DE,Hannover,Niedersachsen,NI,,00,Region Hannover,03241,52.3685,9.7082,208.3,218.6
30519,DE,Hannover,Niedersachsen,NI,,00,Region Hannover,03241,52.3398,9.7743,208.3,218.6
31785,DE,Hameln,Niedersachsen,NI,,00,Hameln-Pyrmont,03252,52.1037,9.3676,172.3,146.7
32105,DE,Bad Salzuflen,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,057,Lippe,05766,52.0808,8.7505,272.1,509.8
32545,DE,Bad Oeynhausen,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,057,Minden-Lübbecke,05770,52.1917,8.8093,356.5,268.8
